,Date,Energy Required (MU),temp,rain
132,2015-05-13,149.541,34.0,0.0
133,2015-05-14,147.958,34.0,0.0
134,2015-05-15,143.674,35.0,1.0
135,2015-05-16,137.562,35.0,1.5
136,2015-05-17,131.098,34.0,9.0
137,2015-05-18,137.64,36.0,0.0
138,2015-05-19,147.114,39.0,0.0
139,2015-05-20,144.683,42.0,0.0
140,2015-05-21,148.523,43.0,0.0
141,2015-05-22,153.956,43.0,0.0
142,2015-05-23,153.657,42.0,0.0
143,2015-05-24,149.573,42.0,0.1
144,2015-05-25,151.147,41.0,0.0
145,2015-05-26,153.955,42.0,0.2
146,2015-05-27,155.322,43.0,0.1
147,2015-05-28,143.336,42.0,0.5
148,2015-05-29,147.235,41.0,0.0
149,2015-05-30,146.455,39.0,0.0
150,2015-05-31,143.522,37.0,0.0
151,2015-06-01,135.238,36.0,0.8
152,2015-06-02,132.163,36.0,0.3
153,2015-06-03,127.344,37.0,0.0
154,2015-06-04,137.787,37.0,0.2
155,2015-06-05,134.276,36.0,0.6
156,2015-06-06,126.068,33.0,0.8
157,2015-06-07,127.775,31.0,3.0
158,2015-06-08,127.775,31.0,15.7
159,2015-06-09,125.428,32.0,0.0
160,2015-06-10,128.297,37.0,0.0
161,2015-06-11,133.912,38.0,0.0
162,2015-06-12,128.599,35.0,7.0
163,2015-06-13,130.013,34.0,3.0
164,2015-06-14,125.361,33.0,2.6
165,2015-06-15,130.363,32.0,0.7
166,2015-06-16,128.3,30.0,2.2
167,2015-06-17,129.216,26.0,59.1
168,2015-06-18,123.601,27.0,8.6
169,2015-06-19,117.876,27.0,5.9
170,2015-06-20,123.461,26.0,20.0
171,2015-06-21,113.38,27.0,11.4
172,2015-06-22,117.364,31.0,0.4
173,2015-06-23,129.519,33.0,0.0
174,2015-06-24,137.718,34.0,0.0
175,2015-06-25,138.826,34.0,0.0
176,2015-06-26,143.483,33.0,0.0
177,2015-06-27,142.188,34.0,0.7
178,2015-06-28,139.174,35.0,0.7
179,2015-06-29,142.311,34.0,2.8
180,2015-06-30,142.535,35.0,0.0
181,2015-07-01,142.785,35.0,0.0
